類別：所有類別

時間,葡萄王: (台灣)
2023-11-05T05:16:00+08:00,0
2023-11-05T05:17:00+08:00,76
2023-11-05T05:18:00+08:00,0
2023-11-05T05:19:00+08:00,0
2023-11-05T05:20:00+08:00,0
2023-11-05T05:21:00+08:00,0
2023-11-05T05:22:00+08:00,0
2023-11-05T05:23:00+08:00,0
2023-11-05T05:24:00+08:00,0
2023-11-05T05:25:00+08:00,0
2023-11-05T05:26:00+08:00,0
2023-11-05T05:27:00+08:00,0
2023-11-05T05:28:00+08:00,0
2023-11-05T05:29:00+08:00,0
2023-11-05T05:30:00+08:00,0
2023-11-05T05:31:00+08:00,0
2023-11-05T05:32:00+08:00,56
2023-11-05T05:33:00+08:00,0
2023-11-05T05:34:00+08:00,0
2023-11-05T05:35:00+08:00,0
2023-11-05T05:36:00+08:00,0
2023-11-05T05:37:00+08:00,0
2023-11-05T05:38:00+08:00,0
2023-11-05T05:39:00+08:00,42
2023-11-05T05:40:00+08:00,0
2023-11-05T05:41:00+08:00,0
2023-11-05T05:42:00+08:00,0
2023-11-05T05:43:00+08:00,0
2023-11-05T05:44:00+08:00,0
2023-11-05T05:45:00+08:00,0
2023-11-05T05:46:00+08:00,81
2023-11-05T05:47:00+08:00,0
2023-11-05T05:48:00+08:00,49
2023-11-05T05:49:00+08:00,0
2023-11-05T05:50:00+08:00,0
2023-11-05T05:51:00+08:00,0
2023-11-05T05:52:00+08:00,0
2023-11-05T05:53:00+08:00,0
2023-11-05T05:54:00+08:00,51
2023-11-05T05:55:00+08:00,70
2023-11-05T05:56:00+08:00,0
2023-11-05T05:57:00+08:00,0
2023-11-05T05:58:00+08:00,90
2023-11-05T05:59:00+08:00,0
2023-11-05T06:00:00+08:00,0
2023-11-05T06:01:00+08:00,0
2023-11-05T06:02:00+08:00,0
2023-11-05T06:03:00+08:00,35
2023-11-05T06:04:00+08:00,0
2023-11-05T06:05:00+08:00,0
2023-11-05T06:06:00+08:00,61
2023-11-05T06:07:00+08:00,0
2023-11-05T06:08:00+08:00,0
2023-11-05T06:09:00+08:00,0
2023-11-05T06:10:00+08:00,41
2023-11-05T06:11:00+08:00,0
2023-11-05T06:12:00+08:00,0
2023-11-05T06:13:00+08:00,0
2023-11-05T06:14:00+08:00,40
2023-11-05T06:15:00+08:00,0
2023-11-05T06:16:00+08:00,0
2023-11-05T06:17:00+08:00,0
2023-11-05T06:18:00+08:00,0
2023-11-05T06:19:00+08:00,0
2023-11-05T06:20:00+08:00,0
2023-11-05T06:21:00+08:00,0
2023-11-05T06:22:00+08:00,0
2023-11-05T06:23:00+08:00,0
2023-11-05T06:24:00+08:00,0
2023-11-05T06:25:00+08:00,0
2023-11-05T06:26:00+08:00,0
2023-11-05T06:27:00+08:00,0
2023-11-05T06:28:00+08:00,0
2023-11-05T06:29:00+08:00,0
2023-11-05T06:30:00+08:00,0
2023-11-05T06:31:00+08:00,0
2023-11-05T06:32:00+08:00,0
2023-11-05T06:33:00+08:00,0
2023-11-05T06:34:00+08:00,37
2023-11-05T06:35:00+08:00,0
2023-11-05T06:36:00+08:00,0
2023-11-05T06:37:00+08:00,0
2023-11-05T06:38:00+08:00,23
2023-11-05T06:39:00+08:00,0
2023-11-05T06:40:00+08:00,34
2023-11-05T06:41:00+08:00,43
2023-11-05T06:42:00+08:00,50
2023-11-05T06:43:00+08:00,0
2023-11-05T06:44:00+08:00,26
2023-11-05T06:45:00+08:00,0
2023-11-05T06:46:00+08:00,0
2023-11-05T06:47:00+08:00,0
2023-11-05T06:48:00+08:00,0
2023-11-05T06:49:00+08:00,0
2023-11-05T06:50:00+08:00,0
2023-11-05T06:51:00+08:00,0
2023-11-05T06:52:00+08:00,0
2023-11-05T06:53:00+08:00,0
2023-11-05T06:54:00+08:00,88
2023-11-05T06:55:00+08:00,100
2023-11-05T06:56:00+08:00,0
2023-11-05T06:57:00+08:00,60
2023-11-05T06:58:00+08:00,0
2023-11-05T06:59:00+08:00,0
2023-11-05T07:00:00+08:00,0
2023-11-05T07:01:00+08:00,0
2023-11-05T07:02:00+08:00,0
2023-11-05T07:03:00+08:00,0
2023-11-05T07:04:00+08:00,0
2023-11-05T07:05:00+08:00,0
2023-11-05T07:06:00+08:00,0
2023-11-05T07:07:00+08:00,0
2023-11-05T07:08:00+08:00,0
2023-11-05T07:09:00+08:00,0
2023-11-05T07:10:00+08:00,0
2023-11-05T07:11:00+08:00,0
2023-11-05T07:12:00+08:00,0
2023-11-05T07:13:00+08:00,33
2023-11-05T07:14:00+08:00,0
2023-11-05T07:15:00+08:00,0
2023-11-05T07:16:00+08:00,62
2023-11-05T07:17:00+08:00,0
2023-11-05T07:18:00+08:00,0
2023-11-05T07:19:00+08:00,0
2023-11-05T07:20:00+08:00,37
2023-11-05T07:21:00+08:00,0
2023-11-05T07:22:00+08:00,0
2023-11-05T07:23:00+08:00,0
2023-11-05T07:24:00+08:00,0
2023-11-05T07:25:00+08:00,19
2023-11-05T07:26:00+08:00,0
2023-11-05T07:27:00+08:00,26
2023-11-05T07:28:00+08:00,0
2023-11-05T07:29:00+08:00,0
2023-11-05T07:30:00+08:00,0
2023-11-05T07:31:00+08:00,0
2023-11-05T07:32:00+08:00,0
2023-11-05T07:33:00+08:00,0
2023-11-05T07:34:00+08:00,0
2023-11-05T07:35:00+08:00,0
2023-11-05T07:36:00+08:00,19
2023-11-05T07:37:00+08:00,0
2023-11-05T07:38:00+08:00,0
2023-11-05T07:39:00+08:00,30
2023-11-05T07:40:00+08:00,0
2023-11-05T07:41:00+08:00,0
2023-11-05T07:42:00+08:00,0
2023-11-05T07:43:00+08:00,0
2023-11-05T07:44:00+08:00,20
2023-11-05T07:45:00+08:00,0
2023-11-05T07:46:00+08:00,0
2023-11-05T07:47:00+08:00,0
2023-11-05T07:48:00+08:00,19
2023-11-05T07:49:00+08:00,0
2023-11-05T07:50:00+08:00,0
2023-11-05T07:51:00+08:00,16
2023-11-05T07:52:00+08:00,0
2023-11-05T07:53:00+08:00,0
2023-11-05T07:54:00+08:00,0
2023-11-05T07:55:00+08:00,0
2023-11-05T07:56:00+08:00,0
2023-11-05T07:57:00+08:00,0
2023-11-05T07:58:00+08:00,0
2023-11-05T07:59:00+08:00,0
2023-11-05T08:00:00+08:00,21
2023-11-05T08:01:00+08:00,28
2023-11-05T08:02:00+08:00,0
2023-11-05T08:03:00+08:00,0
2023-11-05T08:04:00+08:00,0
2023-11-05T08:05:00+08:00,0
2023-11-05T08:06:00+08:00,0
2023-11-05T08:07:00+08:00,30
2023-11-05T08:08:00+08:00,0
2023-11-05T08:09:00+08:00,0
2023-11-05T08:10:00+08:00,0
2023-11-05T08:11:00+08:00,0
2023-11-05T08:12:00+08:00,0
2023-11-05T08:13:00+08:00,0
2023-11-05T08:14:00+08:00,0
2023-11-05T08:15:00+08:00,0
2023-11-05T08:16:00+08:00,0
2023-11-05T08:17:00+08:00,0
2023-11-05T08:18:00+08:00,0
2023-11-05T08:19:00+08:00,0
2023-11-05T08:20:00+08:00,0
2023-11-05T08:21:00+08:00,0
