年份,公司代號,公司名稱,ROE,ROA
1991,2327,國巨,13.63,17.75
1992,2327,國巨,8.49,10.39
1993,2327,國巨,11.79,18.01
1994,2327,國巨,13.4,16.47
1995,2327,國巨,14.83,17.06
1996,2327,國巨,9.07,10.78
1997,2327,國巨,10.99,14.45
1998,2327,國巨,6.0,6.79
1999,2327,國巨,6.63,7.13
2000,2327,國巨,13.14,15.87
2001,2327,國巨,          7.90,9.43
2002,2327,國巨,-7.05,-12.1
2003,2327,國巨,-0.74,-2.2
2004,2327,國巨,-18.22,-34.09
2005,2327,國巨,1.23,1.22
2006,2327,國巨,4.8,7.33
2007,2327,國巨,5.07,7.49
2008,2327,國巨,1.81,2.0
2009,2327,國巨,1.82,2.36
2010,2327,國巨,8.18,13.45
2011,2327,國巨,3.63,5.1
2013,2327,國巨,3.16,4.71
2014,2327,國巨,7.36,14.14
2015,2327,國巨,7.76,14.4
2016,2327,國巨,8.22,15.99
2017,2327,國巨,11.43,24.6
2018,2327,國巨,35.65,74.65
2019,2327,國巨,6.78,13.36
2020,2327,國巨,9.74,         22.48
2021,2327,國巨,11.98,30.99
2022,2327,國巨,          9.11,         20.61
