公司代號,公司名稱,ROE,ROA
1101,台泥,          2.79,          3.64
1102,亞泥,          6.33,          8.85
1103,嘉泥,          5.09,          7.28
1104,環泥,          4.72,          7.39
1108,幸福,          2.20,          1.99
1109,信大,          3.30,          3.65
1110,東泥,          3.49,          4.41
1201,味全,          2.04,          2.07
1203,味王,          2.80,          6.01
1213,大飲,          0.50,          0.40
1215,卜蜂,          0.80,          0.05
1216,統一,          4.63,          7.05
1217,愛之味,          3.66,          4.71
1218,泰山,          1.67,          2.01
1219,福壽,          1.04,          1.05
1220,台榮,         -7.25,        -10.83
1225,福懋油,          1.37,          1.60
1227,佳格,          7.07,          9.91
1229,聯華,          5.49,          6.65
1231,聯華食,          3.49,          5.01
1232,大統益,          8.53,         13.64
1233,天仁,          8.69,         12.58
1234,黑松,          2.37,          3.57
1235,興泰,          6.89,          9.95
1236,宏亞,         10.15,         18.16
1301,台塑,         10.23,         16.21
1303,南亞,          7.41,         11.94
1304,台聚,          2.10,          2.15
1305,華夏,          0.71,          0.10
1307,三芳,          6.06,         10.22
1308,亞聚,          5.02,          6.30
1309,台達化,         -1.06,         -2.12
1310,台苯,          4.35,          5.97
1312,國喬,         -6.64,        -22.84
1313,聯成,          3.80,          4.60
1314,中石化,          1.78,          2.00
1315,達新,          3.61,          4.81
1316,上曜,          0.87,          0.29
1319,東陽,         12.71,         20.78
1321,大洋,          4.99,          7.85
1323,永裕,          5.78,          8.00
1324,地球,          5.28,          7.39
1325,恆大,          2.13,          2.40
1326,台化,         10.42,         17.17
1402,遠東新,          4.80,          7.30
1409,新纖,          2.32,          2.52
1410,南染,          0.17,          0.18
1414,東和,          0.19,         -4.91
1416,廣豐,         -3.40,         -7.15
1418,東華,         -2.82,         -6.07
1419,新紡,          1.97,          3.38
1423,利華,         -0.15,         -0.43
1434,福懋,          5.32,          7.64
1435,中福,          1.81,          2.06
1436,華友聯,         -1.83,         -2.42
1437,勤益控,         -4.32,         -8.83
1438,三地開發,        -17.00,        -88.00
1439,雋揚,          1.57,          2.25
1440,南紡,          3.15,          4.88
1441,大東,        -18.72,        -65.51
1442,名軒,         -6.73,        -13.31
1443,立益物流,         -3.37,         -7.04
1444,力麗,          0.79,          0.14
1445,大宇,         -0.99,         -2.84
1446,宏和,          2.51,          2.79
1447,力鵬,         -0.34,         -1.89
1449,佳和,          0.25,         -2.40
1451,年興,         16.45,         19.23
1452,宏益,          1.36,          1.43
1453,大將,          2.28,          3.30
1454,台富,          1.68,          2.01
1455,集盛,          3.51,          4.57
1456,怡華,         -1.34,        -14.39
1457,宜進,          0.70,         -0.76
1459,聯發,          2.29,          2.63
1460,宏遠,         -9.70,         15.33
1463,強盛,         -2.36,         -2.83
1464,得力,          8.39,         11.78
1465,偉全,          1.44,          1.59
1466,聚隆,          0.27,         -7.61
1467,南緯,          6.21,         10.92
1468,昶和,          0.60,          0.40
1470,大統新創,         -3.80,         -5.27
1471,首利,          3.76,          5.57
1472,三洋實業,          0.04,          0.03
1473,台南,          9.76,         13.25
1474,弘裕,          6.58,         11.57
1476,儒鴻,          5.68,          9.49
1477,聚陽,         18.50,         33.21
1503,士電,          3.00,          4.50
1504,東元,          1.20,          1.32
1506,正道,         -1.95,         -7.31
1512,瑞利,          2.70,          3.29
1513,中興電,          6.63,         11.46
1514,亞力,         -0.77,         -1.88
1515,力山,          3.96,          5.68
1516,川飛,          1.81,          0.70
1517,利奇,          4.17,          4.99
1519,華城,          2.07,          3.48
1521,大億,         10.04,         20.43
1522,堤維西,          6.84,         14.08
1525,江申,         10.40,         14.87
1526,日馳,         -0.50,         -3.49
1527,鑽全,         20.37,         29.88
1528,恩德,          3.00,          4.00
1529,樂事綠能,         -1.61,         -5.40
1530,亞崴,         17.54,         29.13
1531,高林股,         13.24,         19.15
1532,勤美,          7.82,         13.12
1533,車王電,          6.96,         10.48
1535,中宇,          1.73,          4.14
1536,和大,          6.51,         11.00
1537,廣隆,          7.26,         10.37
1539,巨庭,          2.38,          3.88
1540,喬福,          7.18,          9.23
1541,錩泰,          7.22,         13.62
1560,中砂,          8.92,         18.89
1603,華電,          3.05,          6.06
1604,聲寶,          5.12,          8.11
1605,華新,          1.26,          0.59
1608,華榮,          4.13,          5.41
1609,大亞,          4.43,          6.41
1612,宏泰,          4.59,          5.52
1614,三洋電,          7.02,          9.81
1615,大山,         -1.32,         -4.72
1616,億泰,          0.00,          0.00
1617,榮星,          1.67,          2.55
1618,合機,          7.17,         11.51
1701,中化,          6.19,          9.22
1702,南僑,          5.00,          7.00
1707,葡萄王,          1.61,          1.94
1708,東鹼,          3.00,          4.00
1710,東聯,         17.40,         22.15
1711,永光,          5.00,          5.00
1712,興農,          4.60,          6.50
1713,國化,          1.19,          1.36
1714,和桐,          7.07,         11.62
1717,長興,          5.00,          8.00
1718,中纖,         10.80,         21.52
1720,生達,          6.64,         10.58
1721,三晃,        -15.34,        -26.77
1722,台肥,          1.79,          2.89
1723,中碳,         16.60,         30.30
1725,元禎,          4.68,         13.82
1726,永記,         10.50,         13.24
1730,花仙子,          4.08,          5.08
1731,美吾華,          3.12,          5.71
1732,毛寶,          0.04,          0.04
1733,五鼎,         18.20,         20.90
1734,杏輝,          5.01,          7.80
1735,日勝化,         11.54,         17.25
1736,喬山,         15.44,         35.25
1737,臺鹽,          1.10,          2.62
1776,展宇,          4.97,          7.87
1802,台玻,          6.17,          6.98
1806,冠軍,          2.18,          1.61
1808,潤隆,        -14.98,        -84.31
1809,中釉,          1.89,          2.00
1810,和成,          1.27,          0.46
1903,士紙,         -2.95,         -5.36
1904,正隆,          5.72,          8.92
1905,華紙,          6.00,          8.00
1906,寶隆,         -1.52,         -2.50
1907,永豐餘,          8.61,         13.36
1909,榮成,          3.90,          4.85
2002,中鋼,         18.27,         24.98
2006,東和鋼鐵,          3.47,          4.88
2007,燁興,          3.35,          7.35
2008,高興昌,          3.96,          5.78
2009,第一銅,          4.26,          5.50
2010,春源,          6.23,         11.19
2012,春雨,          3.06,          3.99
2013,中鋼構,          1.59,          2.96
2015,豐興,         11.11,         17.01
2017,官田鋼,          5.60,          7.80
2020,美亞,          9.82,         15.96
2022,聚亨,          9.61,         14.26
2023,燁輝,         11.50,         16.88
2024,志聯,         -4.00,        -16.00
2025,千興,          9.00,         15.00
2027,大成鋼,          4.45,          5.36
2028,威致,          3.88,          7.97
2029,盛餘,         15.80,         19.70
2030,彰源,          5.60,         11.30
2031,新光鋼,         13.25,         24.22
2032,新鋼,          6.83,         11.80
2033,佳大,          1.58,          2.53
2034,允強,          6.47,         11.29
2059,川湖,         20.89,         34.02
2101,南港,          3.77,          6.02
2102,泰豐,         21.82,         34.44
2103,台橡,          5.63,          7.81
2104,國際中橡,         -2.10,         -4.30
2105,正新,         11.80,         16.84
2106,建大,          9.58,         14.04
2107,厚生,          1.77,          2.03
2108,南帝,          4.21,          5.04
2201,裕隆,         13.20,         18.60
2204,中華,         14.21,         19.87
2206,三陽工業,          3.24,          5.36
2207,和泰車,         10.67,         17.37
2301,光寶科,          9.91,         17.06
2302,麗正,         -9.04,        -11.28
2303,聯電,          4.84,          6.24
2305,全友,         -4.00,        -10.00
2308,台達電,         10.03,         16.87
2312,金寶,         12.66,         15.95
2313,華通,        -10.74,        -20.63
2314,台揚,          2.49,          1.07
2316,楠梓電,          4.52,          6.32
2317,鴻海,         14.72,         28.83
2321,東訊,          2.26,          2.89
2323,中環,          9.57,         14.15
2324,仁寶,         11.47,         20.52
2327,國巨,         -0.74,         -2.20
2328,廣宇,          5.19,          6.56
2329,華泰,        -11.52,        -38.02
2330,台積電,         12.67,         15.12
2331,精英,          2.99,          5.20
2332,友訊,          8.00,         14.00
2337,旺宏,        -12.17,        -27.57
2340,台亞,         -5.04,        -11.66
2342,茂矽,        -12.07,        -34.90
2344,華邦電,          0.00,         -1.85
2345,智邦,        -18.49,        -28.09
2347,聯強,          8.63,         13.39
2348,海悅,        -10.00,        -49.90
2349,錸德,          2.27,          2.20
2351,順德,          3.82,          5.74
2352,佳世達,         10.00,         17.00
2353,宏碁,          8.38,         11.30
2354,鴻準,         10.22,         15.05
2355,敬鵬,          7.00,         10.00
2356,英業達,          9.00,         15.72
2357,華碩,         13.82,         16.41
2358,廷鑫,          3.14,          6.03
2359,所羅門,          1.00,         -2.00
2360,致茂,          8.43,         12.37
2362,藍天,          7.40,         10.21
2363,矽統,          1.72,          1.20
2364,倫飛,         -8.30,        -26.02
2365,昆盈,         12.29,         17.98
2367,燿華,          1.33,          1.39
2368,金像電,          1.37,          0.79
2369,菱生,          7.36,          9.75
2371,大同,          0.64,          0.32
2373,震旦行,          7.64,         15.02
2374,佳能,          8.69,         13.13
2375,凱美,          2.95,          3.36
2376,技嘉,         12.95,         18.76
2377,微星,          8.55,         16.38
2379,瑞昱,         14.35,         16.23
2380,虹光,         13.74,         18.34
2382,廣達,         11.45,         23.99
2383,台光電,         -6.99,        -10.07
2385,群光,         25.79,         41.05
2387,精元,         16.05,         22.10
2388,威盛,         -4.56,         -7.17
2392,正崴,          8.31,         11.75
2393,億光,         14.00,         19.00
2395,研華,         13.73,         19.63
2397,友通,          3.00,          3.00
2399,映泰,          8.33,         19.11
2401,凌陽,         12.85,         14.71
2402,毅嘉,         12.40,         20.25
2404,漢唐,         10.91,         21.96
2405,輔信,         12.59,         21.56
2406,國碩,          4.13,          5.17
2408,南亞科,         -0.70,         -3.16
2409,友達,         12.00,         18.00
2412,中華電,         10.47,         12.97
2413,環科,          1.17,          0.47
2414,精技,          3.94,          7.30
2415,錩新,          7.59,         11.65
2417,圓剛,         13.29,         19.02
2419,仲琦,          0.57,         -1.16
2420,新巨,          8.43,         12.41
2421,建準,          2.04,          2.61
2423,固緯,         10.38,         13.22
2424,隴華,         -4.91,         -6.73
2425,承啟,         -2.00,         -5.00
2426,鼎元,          5.00,          8.00
2427,三商電,          3.41,          5.39
2428,興勤,         11.41,         14.17
2429,銘旺科,        -10.19,        -26.86
2431,聯昌,          5.12,          6.91
2432,倚天酷碁-創,          6.86,          8.18
2433,互盛電,          5.48,          7.21
2434,統懋,          3.20,          3.60
2436,偉詮電,         13.00,         14.09
2438,翔耀,          2.84,          2.80
2439,美律,         11.81,         16.99
2440,太空梭,         -4.94,        -15.51
2441,超豐,         14.63,         22.07
2442,新美齊,         -8.32,        -18.67
2444,兆勁,         -9.84,        -24.63
2449,京元電子,          4.82,          6.80
2450,神腦,          6.16,         11.14
2451,創見,         26.64,         35.85
