date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA,DailyReturn
2005-09-02,3311,2468000,264637000,105.0,109.0,104.0,108.5,5.5,1418,2005,14.62,5.83,11.4,1236.9,4.855384593643682,28.85,41.51,
2005-09-05,3311,1648000,179848500,110.0,111.0,107.0,108.0,-0.5,907,2005,14.56,5.8,11.4,1231.2,4.833009549433342,28.85,41.51,-0.004608294930875576
2005-09-06,3311,1319000,144297500,108.0,110.5,108.0,110.0,2.0,789,2005,14.82,5.91,11.4,1254.0,4.922509726274701,28.85,41.51,0.018518518518518517
2005-09-07,3311,2259000,252772000,112.0,113.5,110.0,110.0,0.0,1129,2005,14.82,5.91,11.4,1254.0,4.922509726274701,28.85,41.51,0.0
2005-09-08,3311,1286000,142325500,111.0,112.5,109.0,109.0,-1.0,769,2005,14.69,5.85,11.4,1242.6,4.877759637854021,28.85,41.51,-0.00909090909090909
2005-09-09,3311,1676000,186287000,109.0,112.5,109.0,110.5,1.5,866,2005,14.89,5.93,11.4,1259.7,4.94488477048504,28.85,41.51,0.013761467889908258
2005-09-12,3311,2165000,239399500,110.5,111.5,108.5,111.0,0.5,1054,2005,14.96,5.96,11.4,1265.4,4.96725981469538,28.85,41.51,0.004524886877828055
2005-09-13,3311,1969000,221477000,111.0,114.0,110.0,111.0,0.0,951,2005,14.96,5.96,11.4,1265.4,4.96725981469538,28.85,41.51,0.0
2005-09-14,3311,723900,79777395,111.0,111.5,109.0,110.0,-1.0,427,2005,14.82,5.91,11.4,1254.0,4.922509726274701,28.85,41.51,-0.009009009009009009
2005-09-15,3311,926901,100363405,109.0,110.0,107.0,107.5,-2.5,526,2005,14.49,5.77,11.4,1225.5,4.810634505223002,28.85,41.51,-0.022727272727272728
2005-09-16,3311,887598,94040683,107.5,107.5,104.5,105.5,-2.0,510,2005,14.22,5.67,11.4,1202.7,4.721134328381645,28.85,41.51,-0.018604651162790697
2005-09-19,3311,694600,73007671,106.5,107.0,104.0,105.0,-0.5,343,2005,14.15,5.64,11.4,1197.0,4.698759284171305,28.85,41.51,-0.004739336492890996
2005-09-20,3311,1286300,136703155,104.0,108.5,102.5,108.0,3.0,773,2005,14.56,5.8,11.4,1231.2,4.833009549433342,28.85,41.51,0.02857142857142857
2005-09-21,3311,1177654,127669073,108.0,110.0,106.5,108.0,0.0,688,2005,14.56,5.8,11.4,1231.2,4.833009549433342,28.85,41.51,0.0
2005-09-22,3311,4110800,458684845,106.5,113.5,106.5,112.0,4.0,1793,2005,15.09,6.02,11.4,1276.8,5.012009903116058,28.85,41.51,0.037037037037037035
2005-09-23,3311,2090911,233356789,113.0,113.5,109.5,113.5,1.5,864,2005,15.3,6.1,11.4,1293.9,5.079135035747077,28.85,41.51,0.013392857142857142
2005-09-26,3311,2010068,230122682,115.0,115.5,113.5,114.5,1.0,1040,2005,15.43,6.15,11.4,1305.3,5.1238851241677565,28.85,41.51,0.00881057268722467
2005-09-27,3311,1213680,138708141,114.5,115.5,112.0,115.0,0.5,712,2005,15.5,6.18,11.4,1311.0,5.146260168378096,28.85,41.51,0.004366812227074236
2005-09-28,3311,3714695,439408617,115.5,121.0,115.0,117.0,2.0,1860,2005,15.77,6.28,11.4,1333.8,5.235760345219454,28.85,41.51,0.017391304347826087
2005-09-29,3311,1986078,237457167,117.5,121.0,117.0,120.0,3.0,1068,2005,16.17,6.44,11.4,1368.0,5.370010610481492,28.85,41.51,0.02564102564102564
2005-09-30,3311,1641998,195840555,122.0,122.5,117.5,118.0,-2.0,1020,2005,15.9,6.34,11.4,1345.2,5.280510433640133,28.85,41.51,-0.016666666666666666
2005-10-03,3311,1777372,213551721,118.0,121.0,118.0,120.0,2.0,1050,2005,16.17,6.44,11.4,1368.0,5.538562443445326,28.85,41.51,0.01694915254237288
2005-10-04,3311,3902563,480980217,121.5,125.0,121.0,122.5,2.5,1780,2005,16.51,6.58,11.4,1396.5,5.653949161017104,28.85,41.51,0.020833333333333332
2005-10-05,3311,2534686,307315400,123.5,123.5,119.5,121.5,-1.0,1106,2005,16.37,6.53,11.4,1385.1,5.607794473988393,28.85,41.51,-0.00816326530612245
2005-10-06,3311,946663,113615257,120.0,121.0,119.0,119.0,-2.5,486,2005,16.04,6.39,11.4,1356.6,5.492407756416615,28.85,41.51,-0.0205761316872428
2005-10-07,3311,1254500,151036296,120.0,122.0,119.0,119.5,0.5,691,2005,16.11,6.42,11.4,1362.3,5.51548509993097,28.85,41.51,0.004201680672268907
2005-10-11,3311,677620,81361915,120.5,121.5,118.0,118.5,-1.0,435,2005,15.97,6.36,11.4,1350.9,5.469330412902259,28.85,41.51,-0.008368200836820083
2005-10-12,3311,595940,70328623,118.0,119.5,117.0,117.0,-1.5,365,2005,15.77,6.28,11.4,1333.8,5.400098382359193,28.85,41.51,-0.012658227848101266
2005-10-13,3311,757780,87164299,117.0,118.0,113.5,115.0,-2.0,484,2005,15.5,6.18,11.4,1311.0,5.3077890083017705,28.85,41.51,-0.017094017094017096
2005-10-14,3311,369100,43013861,115.0,118.0,115.0,117.5,2.5,239,2005,15.84,6.31,11.4,1339.5,5.4231757258735485,28.85,41.51,0.021739130434782608
2005-10-17,3311,1093700,124975746,117.5,118.0,111.0,116.0,-1.5,554,2005,15.63,6.23,11.4,1322.4,5.353943695330481,28.85,41.51,-0.01276595744680851
2005-10-18,3311,895600,100817751,116.5,116.5,110.5,112.0,-4.0,481,2005,15.09,6.02,11.4,1276.8,5.169324947215638,28.85,41.51,-0.034482758620689655
2005-10-19,3311,1360300,152429371,111.5,114.0,110.0,113.0,1.0,636,2005,15.23,6.07,11.4,1288.2,5.215479634244349,28.85,41.51,0.008928571428571428
2005-10-20,3311,2320000,275390858,114.0,120.5,113.5,119.0,6.0,1116,2005,16.04,6.39,11.4,1356.6,5.492407756416615,28.85,41.51,0.05309734513274336
