date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2010-09-27,8358,4351000,116855050,28.2,28.2,26.1,26.3,5.3,2301,2010,11.85,2.24,21.2,557.56,1.0472504229403363,0,0,
2010-09-28,8358,3717000,101693200,26.5,28.0,26.5,26.8,0.5,1466,2010,12.07,2.28,21.2,568.16,1.0671601267985178,0,0,0.019011406844106463
2010-09-29,8358,1522000,40493600,27.0,27.1,26.4,26.6,-0.2,779,2010,11.98,2.26,21.2,563.92,1.0591962452552453,0,0,-0.007462686567164152
2010-09-30,8358,1833000,47755300,26.6,26.6,25.8,26.1,-0.5,840,2010,11.76,2.22,21.2,553.32,1.039286541397064,0,0,-0.018796992481203006
2010-10-01,8358,1048000,27307650,26.35,26.5,25.8,25.9,-0.2,502,2010,11.67,2.2,21.2,549.0799999999999,1.0313226598537912,0,0,-0.0076628352490422545
2010-10-04,8358,1485000,37509000,26.0,26.1,25.0,25.1,-0.8,688,2010,11.31,2.13,21.2,532.12,0.9712601046680062,0,0,-0.03088803088803078
2010-10-05,8358,1599000,38919750,25.1,25.1,24.0,24.2,-0.9,655,2010,10.9,2.06,21.2,513.04,0.9364340451380776,0,0,-0.03585657370517937
2010-10-06,8358,1465000,36748900,24.8,25.45,24.6,25.2,1.0,583,2010,11.35,2.14,21.2,534.24,0.9751296668379982,0,0,0.04132231404958678
2010-10-07,8358,1790000,46243750,25.2,26.3,25.2,25.9,0.7,813,2010,11.67,2.2,21.2,549.0799999999999,1.0022166020279424,0,0,0.027777777777777752
2010-10-08,8358,1492000,38961950,26.0,26.45,25.85,26.0,0.1,747,2010,11.71,2.21,21.2,551.1999999999999,1.0060861641979344,0,0,0.003861003861003916
2010-10-11,8358,2763000,76409350,26.95,27.8,26.95,27.8,1.8,871,2010,12.52,2.36,21.2,589.36,1.0757382832577915,0,0,0.06923076923076926
2010-10-12,8358,5987000,173367600,29.6,29.6,28.0,28.0,0.2,2356,2010,12.61,2.38,21.2,593.6,1.0834774075977758,0,0,0.007194244604316521
2010-10-13,8358,1704000,47580300,28.0,28.9,27.45,27.95,-0.05,836,2010,12.59,2.38,21.2,592.54,1.08154262651278,0,0,-0.001785714285714311
