date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,market_value,ROA,ROE,DailyReturn
2005-09-02,9915,500041,19178176,38.1,38.7,38.1,38.3,0.3,208,2005,11.89,2.94,0,0,0,
2005-09-05,9915,1074479,40041282,38.5,38.5,36.9,37.2,-1.1,348,2005,11.55,2.85,0,0,0,-0.028720626631853638
2005-09-06,9915,237411,8874841,37.2,37.65,37.2,37.6,0.4,132,2005,11.68,2.89,0,0,0,0.010752688172042972
2005-09-07,9915,251511,9429771,37.8,37.8,37.4,37.45,-0.15,101,2005,11.63,2.87,0,0,0,-0.003989361702127622
2005-09-08,9915,230775,8681224,37.55,37.7,37.55,37.55,0.1,81,2005,11.66,2.88,0,0,0,0.002670226969292238
2005-09-09,9915,282525,10589513,37.6,37.6,37.4,37.55,0.0,146,2005,11.66,2.88,0,0,0,0.0
2005-09-12,9915,134208,5043837,37.55,37.7,37.55,37.6,0.05,73,2005,11.68,2.89,0,0,0,0.0013315579227697542
2005-09-13,9915,340461,12813366,37.6,37.8,37.55,37.6,0.0,134,2005,11.68,2.89,0,0,0,0.0
2005-09-14,9915,795453,29554420,37.7,37.7,36.6,36.8,-0.8,250,2005,11.43,2.82,0,0,0,-0.021276595744680965
2005-09-15,9915,350513,13032382,37.0,37.45,36.8,37.2,0.4,132,2005,11.55,2.85,0,0,0,0.01086956521739146
2005-09-16,9915,846066,31705856,37.3,37.8,37.3,37.4,0.2,233,2005,11.61,2.87,0,0,0,0.0053763440860213904
2005-09-19,9915,1008124,38368330,37.6,38.5,37.6,38.0,0.6,322,2005,11.8,2.92,0,0,0,0.01604278074866314
2005-09-20,9915,599475,22478715,38.1,38.1,37.25,37.4,-0.6,288,2005,11.61,2.87,0,0,0,-0.015789473684210565
2005-09-21,9915,669922,25189482,37.4,37.75,37.4,37.5,0.1,219,2005,11.65,2.88,0,0,0,0.0026737967914438883
2005-09-22,9915,809173,30374829,37.5,37.8,37.35,37.45,-0.05,347,2005,11.63,2.87,0,0,0,-0.0013333333333332576
2005-09-23,9915,1047475,37730006,37.35,37.35,35.5,35.5,-1.95,375,2005,11.02,2.72,0,0,0,-0.05206942590120167
2005-09-26,9915,1057184,36157585,35.5,35.8,33.1,34.0,-1.5,554,2005,10.56,2.61,0,0,0,-0.04225352112676056
2005-09-27,9915,1213117,40115212,34.0,34.0,32.8,33.0,-1.0,478,2005,10.25,2.53,0,0,0,-0.029411764705882353
2005-09-28,9915,1922644,65645554,33.0,35.3,33.0,35.3,2.3,665,2005,10.96,2.71,0,0,0,0.0696969696969696
2005-09-29,9915,2154682,79049399,36.0,37.1,35.5,36.55,1.25,615,2005,11.35,2.81,0,0,0,0.03541076487252125
2005-09-30,9915,1082750,39753370,36.85,37.0,36.6,36.85,0.3,352,2005,11.44,2.83,0,0,0,0.008207934336525426
2005-10-03,9915,656671,24285647,36.9,37.4,36.65,36.9,0.05,258,2005,11.46,2.83,0,0,0,0.0013568521031206828
2005-10-04,9915,1785805,68924898,37.5,39.4,37.3,39.3,2.4,652,2005,12.2,3.02,0,0,0,0.06504065040650403
2005-10-05,9915,1107311,44125709,39.3,40.0,39.0,40.0,0.7,484,2005,12.42,3.07,0,0,0,0.01781170483460567
